ev10_0010_0000;Chapter 10
ev10_0010_0000_1;3221225472
ev10_0010_0000_2;[s40]Too Warm a Welcome[/s]
ev10_0010_0001;Hup...
ev10_0010_0002;Hup...
ev10_0010_0003;Thanks for all the help!
ev10_0010_0004;Nonsense. No trouble at all.
ev10_0010_0005;Thanks for showing us the way, Rikku!
ev10_0010_0006;No problem! I needed a little breather anyway.
ev10_0010_0007;So! Where are you headed from here?
ev10_0010_0008;Umm...
ev10_0010_0009;Hey, there’s this place I’ve been trying to reach.[~]Would you mind if I hitched a ride a bit longer?
ev10_0010_0010;Sure. I must head back myself.[~]Not a problem.
ev10_0010_0011;Thanks a bunch!
ev10_0010_0012;Okay then! Back to my regularly scheduled[~]totally awesome treasure hunting!
ev10_0010_0013;Good luck! And be careful.
ev10_0010_0014;See ya!
ev10_0010_0015;Bye, Adamantoise! I’ll come back[~]and imprism you one day, don’t you worry!
