General_Town_Quest_npc_03_A_01;Say, you’re the proud owners of a flan too, aren’t you! No need to hide it! My flan-sense never lies to me!
General_Town_Quest_npc_03_A_02;I love everything about flans! I love hugging their squishy little bodies... I love pinching their adorable pudgy faces... If you ask me, flans are just about the cutest things ever!
General_Town_Quest_npc_03_A_03;I love them so much, I could gaze at them all day long and never get bored. Ahh...
General_Town_Quest_npc_03_A_04;Oh, but that’s not the half of it! My top secret flan sources tell me that there’s one flan that commands all of flan-dom!
General_Town_Quest_npc_03_A_05;She’s known as the flan princess, and she leads her fellow flans with dignity and grace! Oh, what I wouldn’t give to be able to see her for myself just once...
General_Town_Quest_npc_03_B;If you ever find the flan princess, please introduce us!
General_Town_Quest_npc_03_C_01;Eee! It’s really her! Those adorable eyes! That majestic presence! Oh, she’s too wonderful for words!
General_Town_Quest_npc_03_C_02;Ahh... I wish I could be by her side forever and ever...
General_Town_Quest_npc_03_C_03;Oh, right! Where are my manners? Thank you [f2]so[/f] much for introducing me to her! Here, this is for you.
General_Town_Quest_npc_03_D;If you want to talk flan again, you know where to find me!
General_Town_Quest_npc_03_E;Ahh, flan... How do I love thee? Let me count the ways...
