ev13_0010_0000;Chapter 13
ev13_0010_0000_1;3221225472
ev13_0010_0000_2;[s40]Castle in the Desert[/s]
ev13_0010_0001;Reynn...
ev13_0010_0002;Yeah? What?
ev13_0010_0003;This whole “adventuring” thing is hard.
ev13_0010_0004;Well, the word “adventure”—
ev13_0010_0005;it used to literally mean “bad stuff happening to you.”
ev13_0010_0006;Thanks for the uplifting bit of trivia.
ev13_0010_0007;Wait! I the-hear some activity over thata-the-way. I think we’re not far from a place to the-rest!
ev13_0010_0008;Let’s go take the-five over there!
