TIPS_ATB_TITLE;Batalla en Tiempo Continuo
TIPS_AP_INFO_01;Cuanto más poderosa sea una habilidad, más PA requerirá, así que no los malgastes y úsalos para lanzar los ataques más devastadores. La mayoría de los mirages tienen puntos débiles: descúbrelos para infligir más daño y obtener PA adicionales. ¡Facilitarán mucho tu victoria!
TIPS_ENEMYINFO_INFO;Puedes pulsar [#FFFFFAF0][i01][/#] durante el combate para ver información sobre los mirages contra los que estás luchando. Si usas el hechizo [#ffff00ff]Libra[/#], obtendrás información aún más detallada. ¡Es muy útil! Otro consejo: tras pulsar [#FFFFFAF0][i01][/#] prueba a utilizar [#FFFFFAF0][i09][/#] y [#FFFFFAF0][i08][/#] para cambiar entre las fichas de los combatientes.
TIPS_TIPS_INFO;Todos los tutoriales están disponibles en la opción [#ffff00ff]Sabiduría popular[/#] del menú principal. Ahí se añadirá información que no encontrarás en ningún otro sitio, así que échale un vistazo con frecuencia, aunque creas que lo tienes todo dominado.
TIPS_PRIMERO_INFO;En Grymoire se usa el término [#ffff00ff]pezqueco[/#] para la gente de pequeña estatura, mientras que los [#ffff00ff]kolosos[/#] son más grandes. Pulsa [#FFFFFAF0][#FFFFFFFF][i8][/#][/#] y [#FFFFFAF0][#FFFFFFFF][i5][/#][/#] para que Lann cambie de tamaño, y para que lo haga Reynn, pulsa [#FFFFFAF0][#FFFFFFFF][i8][/#][/#] y [#FFFFFAF0][#FFFFFFFF][i3][/#][/#].
TIPS_PRIMERO_INFO_01;Puedes escoger la apariencia que quieras, pero recuerda que empezarás el combate en esa forma, así que tenlo en cuenta a la hora de crear las formaciones.
TIPS_CHANGE_INFO;Pulsa [#FFFFFAF0][i09][/#] para cambiar el líder del grupo entre Lann y Reynn. ¡Prueba a cambiar de líder y apariencia!
TIPS_CHANGE_INFO_01;Quién sea el líder del grupo no afecta al combate, así que no te preocupes por eso. Pero elige bien entre pezqueco o koloso, porque eso sí cambiará la formación con la que luches. ¡Escoge sabiamente!
TIPS_HOKAKU_INFO;Para capturar un mirage necesitas un prisma vacío diseñado para ese tipo de mirage en concreto. No te preocupes por cómo conseguirlos: Enna Kros te los proporcionará la primera vez que te topes con una nueva especie de mirage.
TIPS_HOKAKU_INFO_01;Por magnánima que sea, no te entregará todos los prismas de golpe, pues eso no tendría gracia alguna. Con el tiempo podrás capturar todos los mirages que veas, pero es recomendable fortalecer los que tienes antes de hacerte con otros.
TIPS_GARDENJEM_INFO;Los prismas que contienen un mirage se llaman [#ffff00ff]prismáriums[/#] y te permiten usar dicho mirage en combate. Si observas un prismárium de cerca, podrás ver en su interior un pequeño mundo, como si fuera un acuario en miniatura.
TIPS_GARDENJEM_INFO_01;Para capturar un mirage, usa un prisma vacío. Cuando lo hayas capturado, el prisma pasará a ser un prismárium y podrás añadir el mirage a una torre para que luche a tu lado. Los prismas no se gastan aunque falles al capturar un mirage, ¡así que no desistas!
TIPS_HOKAKUCHANCE_INFO;Para poder capturar un mirage tienen que darse unas condiciones específicas que no duran mucho tiempo, ¡así que aprovecha la oportunidad cuando surja!
TIPS_HOKAKUCHANCE_INFO_01;A veces tan solo hará falta un buen mamporro para hacerte con un mirage, pero en caso de que la fuerza bruta no funcione, tendrás que descubrir otro método. Las condiciones de captura varían según el tipo de mirage. El hechizo Libra te vendrá de perlas para conseguir pistas.
TIPS_NOSENOSE_INFO;Cuando te colocas un mirage sobre la cabeza para formar una torre, los atributos (como la vitalidad) de todos los miembros se combinan, y según quién forme parte de una torre, las habilidades y los hechizos pueden variar. Algunas habilidades poderosas solo están disponibles cuando se acoplan mirages específicos. Lann y Reynn siempre serán más fuertes acoplados que en solitario, pero existe una desventaja: los puntos débiles de cada miembro se añaden a toda la formación, y eso puede acarrear problemas.
TIPS_BARABARA_INFO;Cuando los miembros de una torre no están acoplados por circunstancias varias, luchan en solitario y pueden usar acciones por separado. ¡A veces resulta muy útil! Los beneficios de una torre son obvios, pero permanecer en solitario permite repartir el daño y las debilidades entre todos los miembros, con lo que las posibilidades de supervivencia aumentan.
TIPS_BARABARA_INFO_01;"Por ejemplo, si envenenan o noquean a una torre, todos los miembros de esa torre sufrirán ese efecto, pero si los miembros están en solitario, tan solo el objetivo se verá afectado
TIPS_PARTY1_INFO;Puedes decidir qué mirages te acompañarán en combate en el menú [#ffff00ff]Formaciones[/#]. Crea torres para los tamaños pezqueco y koloso, y prepárate para cualquier combate.
TIPS_PARTY1_INFO_01;¡Presta atención al abecé de las formaciones! Solo puedes colocar mirages más pequeños que Lann y Reynn sobre su cabeza, así que los que sean más grandes tendrán que ir debajo de ellos. Una torre puede estar compuesta por un máximo de tres miembros. ¡Prueba todo lo que quieras!
TIPS_PARTY2_INFO;"Reynn y Lann pueden alternar entre los tamaños pezqueco y koloso siempre que quieras. Cuando sean kolosos, los mirages se acoplarán encima de ellos
TIPS_PARTY2_INFO_01;Quizá sea más fácil imaginarse la posición en la torre según el tamaño:[~]- Grande (L): debajo del todo.[~]- Medio (M): como indica su nombre, ¡en medio![~]- Pequeño (S): encima del todo.[~]Los kolosos son tamaño L y los pezquecos tamaño M. Es decir, Lann y Reynn estarán siempre debajo del todo o en medio de la formación. Fácil, ¿a que sí?
TIPS_BORD_INFO;Los tableros mirágicos contienen todas las habilidades que los mirages pueden aprender, ya sean técnicas, hechizos, habilidades pasivas... Hay un gran abanico a tu disposición. Cada vez que un mirage sube de nivel obtiene [#ffff00ff]puntos de habilidad[/#] (PH), que sirven para que aprenda nuevas habilidades.
TIPS_BORD_INFO_01;Ten en cuenta que para aprender algunas habilidades, se han de cumplir ciertos requisitos. ¡Intenta aprender todas las que puedas!
TIPS_HENSHINKA_INFO;Los mirages no olvidan las habilidades aprendidas antes de la transfiguración, lo que quiere decir que un mirage al que transfigures será más poderoso que uno que captures ya transfigurado.
TIPS_HENSHINKA_INFO_01;Un mirage puede transfigurar entre las formas que tenga desbloqueadas, aunque con un pero: solo puede hacerlo en la Caja prismática. Puedes llamar a Serafie con un seráfono para que lleve la Caja prismática, donde quieras y cuando quieras.
TIPS_HENSHINKA_WAZA_INFO;Algunos mirages cuentan con habilidades especiales que solo ellos pueden aprender y que no comparten con sus formas transfiguradas. Descubre cuáles son y sácales el mayor provecho posible. Puede que Tama lance rayos por los ojos.
TIPS_HENSHINKA_WAZA_INFO_01;Esa última línea seguramente la haya añadido Tama a este tutorial mediante algún poder mágico oculto. No, Tama no lanza rayos por los ojos, ¡qué cosas!
TIPS_DARKCREVASS_INFO;En las [#ffff00ff]fisuras lúgubres[/#] suelen habitar mirages extraños y muy feroces. Si te adentras en una, prepárate a conciencia. 
TIPS_DARKCREVASS_INFO_01;La mayoría de esos mirages serán demasiado poderosos la primera vez que te enfrentes a ellos, así que será mejor que vuelvas a ese lugar cuando seas más fuerte.
TIPS_GAMEOVER_INFO;Si derrotan al equipo entero, Tama se encargará de llevar a los gemelos a Colina Nonarboleda. No perderás nada si te derrotan, pero tendrás que regresar de nuevo al lugar donde te vencieron. Es, por así decirlo, una especie de <QUOT>retirada táctica<QUOT>. Si te encuentras en el interior del dominio de un mirage poderoso, Tama no podrá usar sus poderes para salvarte el pellejo, así que ten cuidado.
TIPS_SHOP_INFO;Chocolatte tiene la costumbre de recoger toda suerte de objetos allá adonde va y te los venderá a cambio de guiles grymoirianos. Sácales partido a esos guiles que con tanto sudor has conseguido en los combates.
TIPS_SHOP_INFO_01;Cuando regreses a Colina Nonarboleda, pásate por la tienda de Chocolatte para hacer algunas compras y comprobar qué nuevos objetos tiene, pues a medida que pase el tiempo sus mercancías variarán.
TIPS_NOTGET_INFO;Algunos mirages están obligados a servir a su amo en contra de su voluntad, y eso se aprecia por las cadenas visibles alrededor de sus almas. Estos mirages no se pueden capturar, por mucho que lo intentes.
TIPS_NOTGET_INFO_01;La única manera de capturarlos es derrotar primero a su amo para así librarlos de las cadenas. Aunque para ello tendrás que encontrar al amo, y eso puede ser un poco más complicado...
TIPS_DOSSHIRI_INFO;Puedes activar los [#ffff00ff]altares misteriosos[/#] presentes en algunas mazmorras colocando mirages encima de ellos. No temas: casi siempre encontrarás los mirages necesarios en la misma mazmorra, por lo que no tendrás que alejarte demasiado.
TIPS_DOSSHIRI_INFO_01;"Los altares, repartidos a lo largo y ancho de Grymoire, responden al peso y a la resistencia elemental de cada mirage
TIPS_TERRITORY_INFO;Los mirages poderosos crean sus propios dominios y Tama no puede hacer regresar a Lann y Reynn a Colina Nonarboleda desde su interior, así que ten mucho cuidado. En pocas palabras: enemigo poderoso + derrota = fin de la partida. Asegúrate de guardar la partida y de prepararte bien antes de entrar en un dominio.
TIPS_TERRITORY_INFO_01;Otro consejo: los mirages más poderosos se fusionan con el dominio que crean, así que resulta imposible capturarlos. Sin embargo, el dominio desaparecerá al derrotarlos, con lo que puede que logres capturar el mirage la próxima vez que te topes con él.
TIPS_GEMCASE_INFO;"La Caja prismática que Enna Kros ha prestado a Serafie permite almacenar todos los prismáriums que reúnas durante tus aventuras. También puedes transfigurar los mirages en el interior de la Caja prismática tantas veces como quieras
TIPS_GEMCASE_INFO_01;Serafie guarda la Caja prismática en Colina Nonarboleda, y para usarla tan solo tienes que hablar con tu hada favorita o acceder a ella desde cualquier punto de Grymoire a través de un cristal de guardado o los portales.
TIPS_SABER_INFO;Un iluminado es alguien que tiene el potencial de convertirse en un protector. El Guerrero de la Luz, por ejemplo, era un iluminado. 
TIPS_SABER_INFO_01;Si tienes el emblema del Guerrero de la Luz, podrás invocarlo durante un combate para que te ayude. Hay muchos iluminados en Grymoire, pero tendrás que descubrir quién alberga el poder de un protector en su interior...
TIPS_CALLINGBADGE_INFO;Al otro lado de la extraña puerta en Colina Nonarboleda puedes cambiar [#ffff00ff]gemalmas[/#] por [#ffff00ff]emblemas de protector[/#]. Las gemalmas son objetos raros que se pueden encontrar en cualquier lugar. ¡Consigue todas las que puedas!
TIPS_CALLINGBADGE_INFO_01;Un emblema de protector es la prueba de que has despertado a un protector. Tan solo puedes llevar tres al mismo tiempo, así que elígelos bien.
TIPS_SABERENAGY_INFO;La esfera de protector sirve para invocar protectores durante un combate y se rellena mientras luchas, hasta un máximo de tres estrellas. Ten en cuenta que el coste de invocación varía dependiendo del protector que quieras usar.
TIPS_SABERENAGY_INFO_01;Al invocar un protector estás cambiando las leyes de este mundo, pero las reglas no pueden cambiarse. Es, por así decirlo, una especie de paradoja, pues lo imposible es posible, o probable, siempre y cuando se esté dispuesto a pagar una buena cantidad de... Enna Kros debería explicarlo en algún momento.
TIPS_MIRASTONE_INFO;Los [#ffff00ff]miralitos[/#] son extrañas piedras preciosas que se obtienen al extraer y cristalizar las habilidades de los mirages. Consíguelos y añádelos al equipo de Lann y Reynn para que puedan usar sus habilidades.
TIPS_MIRASTONE_INFO_01;A medida que Lann y Reynn suban de nivel y cumplan ciertas condiciones, podrán equiparse con más miralitos, hasta un máximo de ocho.
TIPS_BOOK_INFO;¿Te has percatado de los huecos vacíos en los tableros mirágicos? Puedes plantar en ellos semillas y obtener toda suerte de hechizos y habilidades. Por ejemplo, si usas una semilla de Hielo en un hueco vacío del tablero mirágico de un ifritito, este aprenderá el hechizo [#ffff00ff]Hielo[/#]. ¡Usa las semillas para personalizar los mirages a tu gusto!
TIPS_BOOK_INFO_01;Podrás comprar semillas en la tienda o encontrarlas en todo tipo de lugares. Además, puedes reemplazar las habilidades aprendidas por otras nuevas cuando quieras. Piensa qué habilidades prefieres que aprendan tus mirages, pero no te preocupes: podrás cambiarlas más tarde.
TIPS_MEGAMIRAGE_INFO;Los poderosos [#ffff00ff]megamirages[/#] no pueden asignarse en el menú Formaciones, sino que los puedes invocar durante un combate, aunque has de combinar los PA de Reynn y Lann. Si los retiras de un combate tendrás que esperar un rato para invocarlos de nuevo.
TIPS_MEGAMIRAGE_INFO_01;Los megamirages son tan enormes que, al invocar uno, los demás mirages del grupo regresarán a sus prismáriums. Los megamirages luchan hasta quedarse sin VIT o hasta que Lann y Reynn se queden sin PA.
TIPS_MASTER_INFO;Cuando un mirage aprende todas las habilidades de su tablero mirágico, se le otorga una estrella, la cual puedes canjear para que aprenda una habilidad nueva de entre un abanico de poderosas habilidades adicionales. ¡Elige la que más te guste!
TIPS_MASTER_INFO_01;Lleva mucho tiempo completar un tablero mirágico, por lo que es una especie de recompensa. Con las semillas y la habilidad adicional que consigas al completarlo, ¡tus mirages serán únicos!
TIPS_TOKOTOKO_INFO;Los mirages que aprenden la habilidad [#ffff00ff]Escolta[/#] siguen a Lann y Reynn a todos sitios. Si cuentas con más de un mirage al mismo tiempo que haya aprendido esta habilidad, puedes cambiar entre ellos pulsando [#FFFFFAF0][i24][/#].
TIPS_TOKOTOKO_INFO_01;Los mirages que te acompañen encontrarán de vez en cuando objetos útiles. Prueba a llevarlos a diferentes lugares, ¡a ver qué encuentran!
TIPS_NORINORI_INFO;La habilidad [#ffff00ff]Montura[/#] permite a Lann y Reynn montar sobre un mirage, incluso en el interior de una mazmorra. ¡Te lo pasarás bomba! 
TIPS_NORINORI_INFO_01;Pulsa [#FFFFFAF0][i13][/#] para subirte a lomos de ese mirage o cambiar de montura si otro mirage de tu grupo cuenta con esa habilidad. Si pulsas [#FFFFFAF0][i15][/#] te desmontarás del mirage.
TIPS_FIRE_INFO;3221225472
TIPS_FIRE_INFO_01;[#ffff00ff]Prender fuego[/#] te permite quemar plantas o descongelar bloques de hielo que te impidan el paso. Ah, y también puede prender la mecha de algo concreto. Lleva contigo un mirage que conozca la habilidad y, cuando veas el icono [#FFFFFAF0][i410][/#], examínalo para prender fuego a ese objeto.
TIPS_FREEZE_INFO;¿Conoces la habilidad [#ffff00ff]Helar[/#]? Gracias a ella puedes atravesar una zona de agua, por ejemplo. ¡A veces funciona incluso con ríos de lava! Útil, ¿eh? Puedes helar todo lo que aparezca indicado con el icono [#FFFFFAF0][i411][/#]. 
TIPS_FREEZE_INFO_01;Como es lógico, necesitarás un mirage en tu equipo que conozca esa habilidad, así que sácalo de la Caja prismática si no forma parte de tu grupo actual.
TIPS_ELECTRIC_INFO;Pasemos a explicar la habilidad [#ffff00ff]Chispas[/#]. Gracias a ella podrás cargar con electricidad ciertos objetos. Bastante obvio, ¿no? Puedes activar máquinas y dispositivos, y funciona con cualquier objeto que tenga el icono [#FFFFFAF0][i412][/#] sobre él.
TIPS_ELECTRIC_INFO_01;Quizá te sorprenda saber que hay máquinas en Grymoire. Lo cierto es que es posible que provengan de otros mundos... Te encontrarás con alguna que otra, ¡aunque no demasiadas!
TIPS_BREAK_INFO;Hablemos acerca de la habilidad [#ffff00ff]Destrozar[/#]. Gracias a ella harás añicos rocas y otros obstáculos que te impidan el paso. Puedes usarla donde veas el icono [#FFFFFAF0][i413][/#].
TIPS_BREAK_INFO_01;Por lo general son los mirages más pesados los que cuentan con esta habilidad, así que es mejor no esperar que Tama la aprenda, que ha pagado la cuota del gimnasio pero no va nunca.
TIPS_FRYING_INFO;Mediante la habilidad [#ffff00ff]Vuelo[/#] podrás volar durante un pequeño tramo y acceder así a zonas a las que Lann y Reynn no pueden llegar por su cuenta. Usa Vuelo en lugares indicados con el icono [#FFFFFAF0][i416][/#].
TIPS_FRYING_INFO_01;Tama, por mucho que vuele, no tiene la fuerza suficiente para llevar en volandas a los gemelos, y aunque la tuviera, seguramente se negaría en redondo.
TIPS_TEREPOSTONE_INFO;La [#ffff00ff]teleportita[/#], que puedes usar tantas veces como quieras, te permite regresar a la entrada de una mazmorra al instante. Quizá te lleve un rato volver al lugar donde estuvieras, pero te vendrá bien para curarte, ir a Colina Nonarboleda o reorganizar tu equipo.
TIPS_SHERAPHONE_INFO;El [#ffff00ff]seráfono[/#] es un objeto especial que sirve para invocar a Serafie dondequiera que estés. Ella traerá consigo la Caja prismática, así que podrás acceder a todos tus prismáriums y transfigurar tus mirages.
TIPS_SHERAPHONE_INFO_01;Recuerda que los seráfonos son de un único uso, quizá porque Serafie pasa de to... Es decir, es por protección de datos.
TIPS_GATE_INFO;"Grymoire está salpicado de portales a través de los cuales puedes regresar a Colina Nonarboleda
TIPS_GATE_INFO_01;Los [#ffff00ff]portales de salida[/#], sin embargo, son de dirección única y no se puede acceder a ellos desde el portal principal en Colina Nonarboleda, por lo que solo sirven para abandonar las mazmorras.
TIPS_SAVE_INFO;Los [#ffff00ff]cristales de guardado[/#] se forman de manera natural en diversas ubicaciones de todo Grymoire, sobre todo en los lugares más peligrosos. Por lo general, en ellos puedes restablecer la VIT y los PA de Lann y Reynn, guardar tu partida e invocar a Serafie.
TIPS_SAVE_INFO_01;Son un remanso de paz y tranquilidad, así que recuerda dónde están ubicados y asegúrate de guardar tu progreso siempre que puedas.
TIPS_QUEST_INFO;Los sucesos durante tus aventuras quedan registrados en el [#ffff00ff]Diario[/#], el cual puedes leer en cualquier momento desde el menú principal.
TIPS_QUEST_INFO_01;La opción [#ffff00ff]Misiones secundarias[/#] te permite ver información sobre encargos y viajes astrales que hayas completado, consultar los objetivos y resúmenes de los mismos, e incluso recoger las recompensas.
TIPS_AVIRITY_INFO;Para cambiar las habilidades asignadas a los botones, accede al menú [#ffff00ff]Habilidades[/#] en el menú principal. Se asignan de forma automática nada más aprenderse, pero siempre puedes reemplazarlas o reasignarlas desde el menú Habilidades.
TIPS_MAP_INFO;Si pulsas [#FFFFFFFF][i0][/#] dentro de una mazmorra, se mostrará el mapa de la misma, además de una lista de los mirages autóctonos, tu objetivo e información variopinta (cristales de guardado, ubicación de portales, etcétera). Si en algún momento te pierdes, ¡saca el mapa! En cuanto entres en un área nueva, el mapa se actualizará y mostrará toda esa nueva zona.
TIPS_WORLDMAP_INFO;¡Ha llegado la hora de surcar los cielos! Abre el mapamundi y pulsa [#FFFFFAF0][i05][/#] para ponerte al timón. La lista de destinos sigue a tu disposición, pero como se trata de un barco volador, ¿por qué no aprovechas para explorar el mundo? Quién sabe, ¡quizá descubras nuevos mirages!
TIPS_AUTO_INFO;¿Te gusta la acción frenética? Entonces este consejo te será de gran ayuda: mantén pulsado [#FFFFFAF0][i09][/#] durante el combate para que la velocidad aumente. También puedes pulsar [#FFFFFAF0][i00][/#] para activar el modo de combate Automático, en cuyo caso todo tu equipo luchará de forma automática.
TIPS_AUTO_INFO_03;"Al mantener pulsado [#FFFFFAF0][i09][/#], el tiempo correrá igual de rápido para los enemigos, así que tenlo en cuenta si juegas en el modo Activo, pues les llegará el turno en un visto y no visto. En el modo Automático, cada miembro repetirá su última acción
TIPS_FASTFORWARD_INFO;¿Eres impaciente? Aquí tienes un truco: cuando no estés en un combate, mantén pulsado [#FFFFFAF0][i09][/#] para pasar rápidamente las conversaciones, y si quieres saltarte una escena, pulsa primero [#FFFFFAF0][i01][/#] y, luego, [#FFFFFAF0][i04][/#].
TIPS_FASTFORWARD_INFO_01;Eso sí, con esta última opción te saltarás toda la escena y no sabrás qué ha ocurrido. Quizá sea útil si juegas por segunda vez.
TIPS_ALMAGEM_INFO;Las gemalmas pueden ser muy complicadas de encontrar, pero también son muy útiles. Entrégaselas a la chica sin nombre, que se encuentra en la habitación al otro lado de la puerta misteriosa en Colina Nonarboleda, para que te asigne misiones especiales.
TIPS_ALMAGEM_INFO_01;Sin embargo, también las querrás para los emblemas de protector, así que no las malgastes. Una pista: podrás conseguir muchas en cierto lugar misterioso. ¡Suerte con la búsqueda!
TIPS_ALTOBOX_INFO;Los holocubos son artefactos especiales diseñados para atrapar mirages mecánicos. Chocolatte suele encontrar alguno que otro, así que pásate por su tienda y cómpraselos. 
TIPS_ALTOBOX_INFO_01;Los holocubos no fueron creados en Grymoire y parece que Enna Kros los recuerda con melancolía. Cuanto más débiles son los límites de un mundo, mayores son las posibilidades de... Bueno, eso es una explicación para otro momento.
TIPS_ARENA_INFO;En el Coliseo, Lann y Reynn pueden enfrentarse de nuevo a poderosos mirages con los que se han topado durante sus aventuras.
TIPS_ARENA_INFO_01;Podrás desbloquear nuevos retos al derrotar enemigos poderosos en el Coliseo y a medida que avances en la historia.[~][~]Pásate por el Coliseo tras terminar un episodio y comprueba qué nuevos retos tienes a tu disposición.
TIPS_ARENA_INFO_03;- Recibirás una recompensa especial la primera vez que derrotes a un rival determinado, pero si vuelves a vencerlo, la recompensa será diferente. [~]- Al comienzo de un combate tu VIT y tus PA estarán al máximo, pero no así tu esfera de protector, que estará vacía.[~]- Si abandonas el Coliseo, la VIT, los PA y la barra de protector volverán a ser los mismos que cuando entraste al Coliseo.[~]- No puedes escapar de un combate.
TIPS_ARENA_B_INFO;3221225472
TIPS_ARENA_B_INFO_01;3221225472
TIPS_MINIGAME_INFO;3221225472
