CHARA_NAME_PLAYER001;Lann
CHARA_NAME_PLAYER001_LC01;3221225472
CHARA_NAME_PLAYER001_LC02;3221225472
CHARA_NAME_PLAYER001_LC03;3221225472
CHARA_NAME_PLAYER001_LC04;3221225472
CHARA_NAME_PLAYER001_LC05;3221225472
CHARA_NAME_PLAYER001_LC06;3221225472
CHARA_NAME_PLAYER001_LC07;3221225472
CHARA_NAME_PLAYER001_LC08;3221225472
CHARA_NAME_PLAYER001_LC09;3221225472
CHARA_NAME_PLAYER002;Reynn
CHARA_NAME_PLAYER002_LC01;3221225472
CHARA_NAME_PLAYER002_LC02;3221225472
CHARA_NAME_PLAYER002_LC03;3221225472
CHARA_NAME_PLAYER002_LC04;3221225472
CHARA_NAME_PLAYER002_LC05;3221225472
CHARA_NAME_PLAYER002_LC06;3221225472
CHARA_NAME_PLAYER002_LC07;3221225472
CHARA_NAME_PLAYER002_LC08;3221225472
CHARA_NAME_PLAYER002_LC09;3221225472
CHARA_NAME_STAR001;Guerrero de la Luz
CHARA_NAME_STAR001_LC01;3221225472
CHARA_NAME_STAR001_LC02;del Guerrero de la Luz
CHARA_NAME_STAR001_LC03;3221225472
CHARA_NAME_STAR001_LC04;3221225472
CHARA_NAME_STAR001_LC05;3221225472
CHARA_NAME_STAR001_LC06;3221225472
CHARA_NAME_STAR001_LC07;3221225472
CHARA_NAME_STAR001_LC08;3221225472
CHARA_NAME_STAR001_LC09;3221225472
CHARA_NAME_STAR002;Aldeana
CHARA_NAME_STAR002_LC01;3221225472
CHARA_NAME_STAR002_LC02;3221225472
CHARA_NAME_STAR002_LC03;3221225472
CHARA_NAME_STAR002_LC04;3221225472
CHARA_NAME_STAR002_LC05;3221225472
CHARA_NAME_STAR002_LC06;3221225472
CHARA_NAME_STAR002_LC07;3221225472
CHARA_NAME_STAR002_LC08;3221225472
CHARA_NAME_STAR002_LC09;3221225472
CHARA_NAME_STAR019;Princesa Sara
CHARA_NAME_STAR019_LC01;3221225472
CHARA_NAME_STAR019_LC02;3221225472
CHARA_NAME_STAR019_LC03;3221225472
CHARA_NAME_STAR019_LC04;3221225472
CHARA_NAME_STAR019_LC05;3221225472
CHARA_NAME_STAR019_LC06;3221225472
CHARA_NAME_STAR019_LC07;3221225472
CHARA_NAME_STAR019_LC08;3221225472
CHARA_NAME_STAR019_LC09;3221225472
CHARA_NAME_STAR003;Refia
CHARA_NAME_STAR003_LC01;3221225472
CHARA_NAME_STAR003_LC02;de Refia
CHARA_NAME_STAR003_LC03;3221225472
CHARA_NAME_STAR003_LC04;3221225472
CHARA_NAME_STAR003_LC05;3221225472
CHARA_NAME_STAR003_LC06;3221225472
CHARA_NAME_STAR003_LC07;3221225472
CHARA_NAME_STAR003_LC08;3221225472
CHARA_NAME_STAR003_LC09;3221225472
CHARA_NAME_STAR004;Rydia
CHARA_NAME_STAR004_LC01;3221225472
CHARA_NAME_STAR004_LC02;de Rydia
CHARA_NAME_STAR004_LC03;3221225472
CHARA_NAME_STAR004_LC04;3221225472
CHARA_NAME_STAR004_LC05;3221225472
CHARA_NAME_STAR004_LC06;3221225472
CHARA_NAME_STAR004_LC07;3221225472
CHARA_NAME_STAR004_LC08;3221225472
CHARA_NAME_STAR004_LC09;3221225472
CHARA_NAME_STAR005;Bartz
CHARA_NAME_STAR005_LC01;3221225472
CHARA_NAME_STAR005_LC02;de Bartz
CHARA_NAME_STAR005_LC03;3221225472
CHARA_NAME_STAR005_LC04;3221225472
CHARA_NAME_STAR005_LC05;3221225472
CHARA_NAME_STAR005_LC06;3221225472
CHARA_NAME_STAR005_LC07;3221225472
CHARA_NAME_STAR005_LC08;3221225472
CHARA_NAME_STAR005_LC09;3221225472
CHARA_NAME_STAR006;Faris
CHARA_NAME_STAR006_LC01;3221225472
CHARA_NAME_STAR006_LC02;de Faris
CHARA_NAME_STAR006_LC03;3221225472
CHARA_NAME_STAR006_LC04;3221225472
CHARA_NAME_STAR006_LC05;3221225472
CHARA_NAME_STAR006_LC06;3221225472
CHARA_NAME_STAR006_LC07;3221225472
CHARA_NAME_STAR006_LC08;3221225472
CHARA_NAME_STAR006_LC09;3221225472
CHARA_NAME_STAR007;Cloud
CHARA_NAME_STAR007_LC01;3221225472
