ev21_0085_0000;¿Qué es esto?
ev21_0085_0001;Espera, Lann, ¿qué es lo que...? ¡Ah!
ev21_0085_0002;¿Eh? ¿Reynn? ¡Ha desaparecido!
ev21_0085_0003;¡Oh, no! ¿Qué hacemos?
ev21_0085_0004;¡Ni idea! ¡A mí no me mires!
ev21_0085_0005;¿Eh? Creo que me está invocando.
ev21_0085_0006;¡No, Tama, no te vayas tú también!
ev21_0085_0007;Vaya... ¿Qué voy a hacer ahora? ¡Me he quedado solo!
ev21_0085_0008;Si tú no se lo dices..., yo tampoco.
ev21_0085_0009;No tengo objecioncitas.
ev21_0085_0010;Ja, ja... Cómo sois. Ya sabía que estabais bien. Hemos visto más mecanismos así.
ev21_0085_0011;Sí, sí. Deja de actuar como si no hubieras estado aterrado.
ev21_0085_0012;Gracias a estos artefactos apenas nos llevará tiempo llegar a lo más alto.
ev21_0085_0013;Pero a partir de ahora, no toques nada sin consultármelo antes. ¡¿Entendido?!
ev21_0085_0014;Sí, entendido.
ev21_0085_0015;¡¿Qué acabo de decir?!
ev21_0085_0016;Laaaann...
ev21_0085_0017;Laaann...
ev21_0085_0018;Uy... Me portaré bien.
