ev07_0040_0000;¡Toma!
ev07_0040_0000_1;Je, je, je... ¡Ja, ja, ja!
ev07_0040_0001;¿Qué...?
ev07_0040_0002;¿Por qué os detenéis? ¡Demostradme de lo que sois capaces! ¿Acaso no está nuestro destino entrelazado?
ev07_0040_0003;¡Quiero más!
ev07_0040_0004;¡Aarg!
ev07_0040_0005;Señor Segwarides... ¿Por... qué...?
ev07_0040_0006;¡Necio! No te mereces tan siquiera una respuesta.
ev07_0040_0007;¡Solo un mentecato sin parangón permitiría que una iluminada despierte!
ev07_0040_0008;Eh...
ev07_0040_0009;Esto no pinta nada bien.
ev07_0040_0010;Ni en muerte, ni en vida. Su presencia ha de ser sellada o...
ev07_0040_0011;¡Rápido, por aquí!
ev07_0040_0012;¿Eh? ¿No es el mismo...?
ev07_0040_0013;¡¿Vais a venir o no?!
ev07_0040_0014;¡¿Eh?!
ev07_0040_0015;¡Ah, sí!
ev07_0040_0016;¡De acuerdo!
ev07_0040_0017;¡Sálvese quien pueda!
ev07_0040_0018;Je, je, je. Los dioses nos están avisando. ¿Nos estarán advirtiendo de que se interpondrán en nuestro camino? ¿Que el destino puede cambiar?
ev07_0040_0019;¡Je, je, je! ¡Ja, ja, ja!
ev07_0040_0020;¡Uf! ¡Ha faltado muy poco!
ev07_0040_0021;Gracias, Sherlotta.
ev07_0040_0022;¿Oh?
ev07_0040_0023;¿Eh?
ev07_0040_0024;¿Ah?
ev07_0040_0025;Sabía que os meteríais en un lío... Es que lo sabía.
ev07_0040_0026;¡Ah! ¿Y esa técnica tan rara?
ev07_0040_0027;¡Tú sí que eres raro!
ev07_0040_0028;Dejémoslo estar. Tomad, usad esto. Y después echadle otro vistazo al pueblo.
ev07_0040_0029;¡Ah! ¿Qué leñes es...?
ev07_0040_0030;¿Eh? ¿Desciende de los cielos?
ev07_0040_0031;¡Yo también quiero!
ev07_0040_0032;¡Eh, Refia! Tú también deberías ver esto.
ev07_0040_0033;¿Se te ocurre alguna explicación?
ev07_0040_0034;Me temo que no conozco la respuesta.
ev07_0040_0035;Ni la persona que dejó estos monóculos en mi refugio supo explicarme qué muestran o cómo funcionan.
ev07_0040_0036;Por lo que me han dicho, todos los estados de la Federación están amarrados de esta forma.
ev07_0040_0037;Así que decidí traer los monóculos. Aunque quizá no hubiera debido...
ev07_0040_0038;El barón estaba loco, no hay duda. ¿Qué diantres está pasando aquí?
ev07_0040_0039;Eh...
ev07_0040_0040;Bueno, está claro que no tenemos ni idea.
ev07_0040_0041;Vale, ¿qué hacemos? Vinimos aquí para preguntar por la Liga de los S, pero lo único que tenemos son más preguntas.
ev07_0040_0042;Disculpa, ¿has dicho la Liga de los S?
ev07_0040_0043;Así es.
ev07_0040_0044;Si eso es lo único que queréis, quizá pueda ayudaros.
ev07_0040_0045;¿Ah, sí?
ev07_0040_0046;Claro, conozco a gente aquí en Saronia que sabe cómo ponerse en contacto con ellos. Les pediré que transmitan vuestro mensaje.
ev07_0040_0047;¿De verdad? ¡Gracias!
ev07_0040_0048;Sherlotta tiene más años de los que aparenta. Por suerte para vosotros, conoce a mucha gente.
ev07_0040_0049;¡No menciones mi edad!
ev07_0040_0050;¡Je, je!...
ev07_0040_0051;Oye... ¿Por qué te transformas en gato a veces?
ev07_0040_0052;Es... una historia muy larga que no me apetece contar ahora.
ev07_0040_0053;Pero te diré esto:
ev07_0040_0053_1;los gatos llegan a muchos sitios.
ev07_0040_0054;¿Ah, sí?
ev07_0040_0055;Así es.
ev07_0040_0056;Ah, vale. Guay.
ev07_0040_0057;Sí.
ev07_0040_0058;Cambiando de tema, ¿qué vais a hacer ahora?
ev07_0040_0059;Todavía tenemos mucho que investigar, pero ahora que ya hemos solucionado lo de la Liga de los S,
ev07_0040_0060;creo que podemos seguir buscando mirages.
ev07_0040_0061;Eso.
ev07_0040_0062;Y todavía tenemos que encontrar el castillo y a nuestra madre.
ev07_0040_0063;Muy buen plan.
ev07_0040_0064;Desde aquí, lo mejor sería que os dirigieseis al Inframar.
ev07_0040_0065;Y para ello no os quedará más remedio que buscaros un barco en el puerto...
ev07_0040_0066;Así que esta es la última ciudad del continente... Está bien, ya nos las arreglaremos.
ev07_0040_0067;Y vosotras, ¿qué vais a hacer?
ev07_0040_0068;¿Vuelves conmigo al refugio, Refia?
ev07_0040_0069;Ya nos hemos librado de los lobos, ahora el único obstáculo será el frío.
ev07_0040_0070;Sí. Necesito tiempo para procesar lo que ha pasado con mi tío. El refugio parece un buen lugar... ¿Te importa que te acompañe?
ev07_0040_0071;Claro que no.
ev07_0040_0072;Muchas gracias por todo a los dos. Os deseo suerte en vuestra aventura.
ev07_0040_0073;¡De nada! ¡Hasta pronto!
ev07_0040_0074;Gracias por tu ayuda, Sherlotta.
ev07_0040_0075;¡De nada!
ev07_0040_0076;Por cierto, Lann... ¿Qué piensas hacer para que te perdone por haberme pisado la cola?
ev07_0040_0078;Ah, vaya... ¿Eras tú? Esperaba que lo hubieses olvidado...
